,startFrame,wallClock,gameClock,playerInPossessionId,playerInPossessionName,defenderId,defenderName
0,495,1599957504570,19.8,119089,H. Mukhtar,241500,M. Robinson
1,2363,1599957579290,94.52,221678,Matheus Rossetto,202376,D. Badji
2,2466,1599957583410,98.64,193891,F. Escobar,220753,A. Muyl
3,3489,1599957624330,139.56,221678,Matheus Rossetto,119089,H. Mukhtar
4,3811,1599957637210,152.44,119089,H. Mukhtar,41551,J. Larentowicz
5,3935,1599957642170,157.4,221678,Matheus Rossetto,479525,A. Johnston
6,3953,1599957642890,158.12,221678,Matheus Rossetto,202195,A. Danladi
7,3983,1599957644090,159.32,426771,G. Bello,119089,H. Mukhtar
8,3987,1599957644250,159.48,426771,G. Bello,202376,D. Badji
9,4052,1599957646850,162.08,158536,A. Walkes,119089,H. Mukhtar
10,4327,1599957657850,173.08,220753,A. Muyl,193891,F. Escobar
11,4652,1599957670850,186.08,99117,A. Godoy,442345,T. Wolff
12,4950,1599957682770,198.0,231969,E. Barco,202195,A. Danladi
13,5116,1599957689410,204.64,231969,E. Barco,151933,W. Zimmerman
14,5124,1599957689730,204.96,231969,E. Barco,41626,D. McCarty
15,6238,1599957734290,249.52,426771,G. Bello,479525,A. Johnston
16,6562,1599957747250,262.48,426771,G. Bello,41626,D. McCarty
17,6815,1599957757370,272.6,193891,F. Escobar,220753,A. Muyl
18,6889,1599957760330,275.56,221678,Matheus Rossetto,99117,A. Godoy
19,7117,1599957769450,284.68,426771,G. Bello,202195,A. Danladi
20,7305,1599957776970,292.2,202376,D. Badji,241500,M. Robinson
21,8023,1599957805690,320.92,193891,F. Escobar,220753,A. Muyl
22,8327,1599957817850,333.08,426771,G. Bello,202195,A. Danladi
23,8408,1599957821090,336.32,221678,Matheus Rossetto,41626,D. McCarty
24,8409,1599957821130,336.36,221678,Matheus Rossetto,202195,A. Danladi
25,8475,1599957823770,339.0,158536,A. Walkes,202376,D. Badji
26,8863,1599957839290,354.52,231969,E. Barco,479525,A. Johnston
27,8901,1599957840810,356.04,231969,E. Barco,202195,A. Danladi
28,8943,1599957842490,357.72,231969,E. Barco,41626,D. McCarty
29,9198,1599957852690,367.92,220753,A. Muyl,193891,F. Escobar
30,9220,1599957853570,368.8,220753,A. Muyl,178386,B. Lennon
31,9271,1599957855610,370.84,178386,B. Lennon,220753,A. Muyl
32,9273,1599957855690,370.92,178386,B. Lennon,99117,A. Godoy
33,9303,1599957856890,372.12,178386,B. Lennon,119089,H. Mukhtar
34,9419,1599957861530,376.76,442345,T. Wolff,220753,A. Muyl
35,9800,1599957876770,392.0,426771,G. Bello,202195,A. Danladi
36,9853,1599957878890,394.12,158536,A. Walkes,202376,D. Badji
37,10110,1599957889170,404.4,241500,M. Robinson,119089,H. Mukhtar
38,10695,1599957912570,427.8,221678,Matheus Rossetto,41626,D. McCarty
39,10872,1599957919650,434.88,231969,E. Barco,479525,A. Johnston
40,10943,1599957922490,437.72,231969,E. Barco,202195,A. Danladi
41,11672,1599957951650,466.88,442345,T. Wolff,99117,A. Godoy
42,11673,1599957951690,466.92,442345,T. Wolff,202195,A. Danladi
43,11677,1599957951850,467.08,442345,T. Wolff,41626,D. McCarty
44,11701,1599957952810,468.04,442345,T. Wolff,479525,A. Johnston
45,11743,1599957954490,469.72,221678,Matheus Rossetto,99117,A. Godoy
46,12083,1599957968090,483.32,193891,F. Escobar,220753,A. Muyl
47,12310,1599957977170,492.4,426771,G. Bello,202195,A. Danladi
48,12560,1599957987170,502.4,193891,F. Escobar,220753,A. Muyl
49,12820,1599957997570,512.8,158536,A. Walkes,202376,D. Badji
50,12942,1599958002450,517.68,152253,A. Jahn,479525,A. Johnston
51,12962,1599958003250,518.48,152253,A. Jahn,99117,A. Godoy
52,13353,1599958018890,534.12,193891,F. Escobar,220753,A. Muyl
53,13677,1599958031850,547.08,426771,G. Bello,479525,A. Johnston
54,13760,1599958035170,550.4,426771,G. Bello,99117,A. Godoy
55,13911,1599958041210,556.44,231969,E. Barco,479525,A. Johnston
56,13926,1599958041810,557.04,231969,E. Barco,151933,W. Zimmerman
57,13933,1599958042090,557.32,231969,E. Barco,41626,D. McCarty
58,14164,1599958051330,566.56,119089,H. Mukhtar,241500,M. Robinson
59,14170,1599958051570,566.8,119089,H. Mukhtar,41551,J. Larentowicz
60,14498,1599958064690,579.92,231969,E. Barco,41626,D. McCarty
61,14572,1599958067650,582.88,231969,E. Barco,119089,H. Mukhtar
62,14721,1599958073610,588.84,193891,F. Escobar,220753,A. Muyl
63,14984,1599958084130,599.36,426771,G. Bello,202195,A. Danladi
64,15229,1599958093930,609.16,193891,F. Escobar,220753,A. Muyl
